ImageId,geom,ClassType,Xmax,Ymin,geom_red
6040_2_2,"[(1119, 2917), (1137, 2936), (1156, 2960), (1177, 2981), (1210, 3002), (1244, 3019), (1266, 3031), (1304, 3060), (1331, 3082), (1380, 3118), (1417, 3138), (1455, 3162), (1507, 3194), (1539, 3211), (1586, 3234), (1622, 3244), (1652, 3253), (1694, 3261), (1740, 3271), (1764, 3275), (1803, 3222), (1849, 3170), (1873, 3145), (1892, 3116), (1904, 3085), (1923, 3058), (1951, 3018), (1966, 2992), (2000, 2928), (2022, 2880), (2041, 2845), (2049, 2837), (2060, 2826), (2072, 2804), (2083, 2793), (2121, 2767), (2166, 2737), (2202, 2713), (2245, 2696), (2317, 2677), (2341, 2670), (2369, 2671), (2387, 2672), (2407, 2663), (2437, 2644), (2469, 2626), (2480, 2619), (2483, 2618), (2484, 2619), (2480, 2625), (2449, 2641), (2420, 2660), (2395, 2675), (2390, 2678), (2373, 2678), (2353, 2676), (2338, 2675), (2310, 2682), (2253, 2700), (2239, 2703), (2205, 2717), (2169, 2740), (2132, 2767), (2095, 2792), (2076, 2805), (2067, 2826), (2053, 2845), (2037, 2869), (2007, 2930), (1993, 2955), (1968, 2999), (1937, 3046), (1922, 3066), (1903, 3098), (1896, 3118), (1876, 3146), (1853, 3175), (1827, 3203), (1811, 3222), (1780, 3262), (1769, 3275), (1778, 3276), (1791, 3276), (1801, 3272), (1804, 3270), (1815, 3271), (1820, 3275), (1831, 3277), (1850, 3274), (1873, 3273), (1903, 3273), (1914, 3275), (1923, 3276), (1928, 3278), (1928, 3280), (1920, 3279), (1912, 3278), (1901, 3278), (1888, 3278), (1873, 3278), (1856, 3277), (1843, 3278), (1830, 3280), (1822, 3278), (1814, 3275), (1807, 3273), (1803, 3274), (1797, 3276), (1787, 3280), (1775, 3280), (1763, 3279), (1744, 3276), (1705, 3268), (1676, 3262), (1650, 3261), (1629, 3260), (1603, 3257), (1582, 3253), (1561, 3251), (1534, 3248), (1511, 3248), (1486, 3248), (1458, 3247), (1430, 3247), (1400, 3244), (1372, 3238), (1354, 3239), (1277, 3239), (1218, 3240), (1163, 3242), (1116, 3245), (1089, 3247), (1055, 3250), (1040, 3255), (1032, 3258), (1032, 3256), (1032, 3268), (1032, 3348), (1003, 3348), (1013, 3252), (1017, 3219), (1027, 3180), (1036, 3152), (1060, 3048), (1071, 3026), (1080, 2992), (1083, 2980), (1090, 2962), (1100, 2925), (1104, 2905), (1101, 2880), (1093, 2842), (1073, 2776), (1062, 2729), (1055, 2684), (1056, 2651), (1062, 2621), (1058, 2565), (1050, 2540), (1044, 2506), (1048, 2480), (1046, 2438), (1046, 2395), (1048, 2379), (1040, 2346), (1016, 2309), (978, 2253), (956, 2212), (934, 2183), (920, 2166), (889, 2131), (862, 2108), (853, 2082), (839, 2052), (821, 2032), (792, 2011), (765, 1997), (757, 1987), (692, 1908), (654, 1868), (614, 1827), (576, 1794), (536, 1773), (501, 1755), (464, 1741), (436, 1721), (408, 1697), (394, 1681), (365, 1647), (352, 1623), (320, 1571), (273, 1500), (247, 1446), (224, 1407), (194, 1366), (160, 1328), (126, 1289), (113, 1266), (103, 1261), (94, 1260), (79, 1251), (0, 1180), (1, 1135), (84, 1213), (157, 1307), (206, 1365), (275, 1452), (315, 1523), (345, 1574), (376, 1640), (403, 1675), (432, 1706), (474, 1733), (534, 1759), (576, 1785), (613, 1813), (657, 1845), (712, 1910), (758, 1964), (774, 1988), (815, 2008), (844, 2042), (869, 2067), (885, 2111), (918, 2141), (942, 2162), (962, 2194), (998, 2253), (1025, 2295), (1045, 2330), (1055, 2358), (1061, 2389), (1062, 2410), (1084, 2579), (1079, 2639), (1085, 2677), (1089, 2720), (1109, 2833), (1115, 2854), (1125, 2870), (1133, 2884), (1124, 2906), (1113, 2932), (1102, 2965), (1089, 2988), (1065, 3095), (1056, 3136), (1033, 3220), (1033, 3236), (1044, 3239), (1055, 3235), (1069, 3236), (1084, 3236), (1094, 3237), (1109, 3238), (1123, 3239), (1151, 3237), (1200, 3235), (1263, 3233), (1310, 3233), (1346, 3235), (1371, 3235), (1400, 3239), (1429, 3243), (1461, 3244), (1491, 3245), (1516, 3243), (1534, 3244), (1555, 3247), (1584, 3251), (1616, 3256), (1639, 3258), (1660, 3259), (1643, 3255), (1629, 3250), (1601, 3244), (1582, 3238), (1565, 3230), (1543, 3219), (1500, 3195), (1454, 3168), (1424, 3150), (1391, 3131), (1353, 3105), (1331, 3086), (1302, 3063), (1265, 3035), (1235, 3019), (1215, 3008), (1191, 2995), (1160, 2973), (1140, 2951), (1129, 2938), (1117, 2922), (1119, 2917)]",4,0.009158,-0.009043,3
6040_2_2,"[(2845, 897), (2864, 900), (2888, 894), (2905, 890), (2924, 890), (2947, 900), (2971, 905), (2985, 907), (2996, 919), (3008, 928), (3024, 940), (3044, 950), (3048, 954), (3051, 963), (3057, 972), (3072, 990), (3080, 1004), (3092, 1018), (3114, 1047), (3133, 1057), (3160, 1067), (3181, 1064), (3196, 1064), (3207, 1069), (3219, 1071), (3228, 1071), (3247, 1070), (3260, 1072), (3269, 1075), (3285, 1083), (3305, 1098), (3322, 1108), (3339, 1118), (3347, 1118), (3361, 1112), (3377, 1110), (3389, 1104), (3389, 1112), (3358, 1119), (3348, 1125), (3337, 1125), (3328, 1121), (3316, 1112), (3296, 1098), (3275, 1082), (3260, 1077), (3243, 1075), (3224, 1075), (3214, 1075), (3202, 1071), (3192, 1068), (3177, 1069), (3162, 1072), (3149, 1073), (3137, 1069), (3124, 1063), (3099, 1044), (3083, 1021), (3065, 1004), (3051, 984), (3043, 974), (3029, 965), (3009, 958), (2981, 951), (2956, 948), (2933, 945), (2913, 941), (2894, 936), (2876, 930), (2859, 921), (2838, 913), (2809, 901), (2781, 884), (2732, 854), (2726, 847), (2710, 838), (2694, 831), (2684, 827), (2670, 821), (2645, 813), (2630, 810), (2614, 805), (2596, 798), (2579, 787), (2566, 779), (2543, 770), (2526, 765), (2507, 760), (2492, 756), (2481, 753), (2466, 746), (2456, 740), (2416, 727), (2394, 715), (2363, 701), (2320, 675), (2306, 665), (2289, 655), (2262, 644), (2250, 639), (2231, 635), (2209, 636), (2190, 636), (2179, 635), (2161, 631), (2131, 623), (2112, 615), (2096, 608), (2074, 605), (2051, 604), (2037, 603), (2019, 602), (2003, 598), (1992, 595), (1981, 590), (1920, 571), (1878, 556), (1839, 541), (1809, 530), (1791, 527), (1777, 524), (1767, 521), (1754, 519), (1733, 519), (1720, 518), (1691, 518), (1631, 506), (1593, 500), (1563, 494), (1524, 488), (1470, 482), (1440, 477), (1412, 471), (1398, 466), (1384, 462), (1365, 465), (1340, 466), (1311, 463), (1261, 461), (1234, 460), (1179, 447), (1156, 437), (1131, 423), (1117, 409), (1104, 395), (1086, 379), (1054, 350), (1040, 338), (1017, 328), (1005, 323), (969, 303), (929, 287), (896, 272), (875, 257), (849, 241), (819, 210), (791, 186), (777, 166), (764, 135), (752, 102), (744, 81), (723, 52), (704, 35), (685, 25), (668, 12), (655, 0), (700, 0), (722, 25), (737, 39), (749, 48), (770, 81), (781, 111), (799, 149), (822, 183), (855, 218), (883, 231), (908, 251), (946, 259), (970, 273), (991, 288), (1033, 306), (1072, 323), (1132, 345), (1178, 360), (1209, 370), (1237, 375), (1255, 380), (1288, 388), (1321, 400), (1350, 419), (1376, 439), (1393, 452), (1404, 460), (1432, 467), (1478, 476), (1502, 472), (1526, 474), (1552, 477), (1589, 482), (1635, 488), (1683, 494), (1743, 507), (1779, 513), (1815, 520), (1850, 533), (1907, 553), (1953, 570), (2000, 584), (2041, 596), (2096, 602), (2122, 610), (2146, 621), (2183, 625), (2220, 628), (2252, 630), (2279, 640), (2310, 656), (2339, 671), (2361, 689), (2418, 710), (2470, 721), (2526, 737), (2576, 756), (2602, 762), (2640, 776), (2689, 806), (2722, 833), (2765, 855), (2807, 884), (2845, 897)]",4,0.009158,-0.009043,4
6120_2_2,"[(404, 2842), (406, 2868), (429, 3068), (451, 3348), (391, 3348), (346, 2868), (317, 2625), (305, 2590), (266, 2497), (255, 2458), (108, 1784), (127, 1778), (123, 1765), (136, 1763), (101, 1592), (72, 1598), (72, 1592), (0, 1239), (0, 1113), (71, 1126), (74, 1128), (107, 1131), (109, 1132), (397, 1198), (508, 1223), (543, 1231), (1047, 1345), (1125, 1365), (1189, 1392), (1309, 1446), (1333, 1458), (1375, 1500), (1462, 1580), (1603, 1746), (1640, 1804), (1693, 1854), (1705, 1871), (1771, 1942), (1872, 2022), (1912, 2034), (1940, 2031), (1948, 2029), (2044, 2010), (2135, 1978), (2272, 1915), (2349, 1873), (2402, 1848), (3058, 1528), (3215, 1448), (3390, 1340), (3390, 1349), (3327, 1389), (3261, 1431), (3209, 1460), (2966, 1582), (2967, 1585), (2959, 1590), (2960, 1594), (2893, 1629), (2868, 1638), (2874, 1668), (2882, 1712), (2888, 1717), (2889, 1715), (2894, 1718), (2888, 1733), (2915, 1754), (2910, 1756), (2908, 1755), (2904, 1758), (2925, 1826), (2920, 1828), (2925, 1846), (2926, 1846), (2927, 1848), (2955, 1933), (3006, 2087), (3102, 2380), (3233, 2820), (3390, 3348), (3313, 3348), (3302, 3309), (3309, 3305), (3317, 3298), (3321, 3282), (3317, 3262), (3097, 2492), (3083, 2436), (3064, 2349), (3063, 2342), (3050, 2287), (3032, 2286), (3029, 2255), (3020, 2249), (3018, 2240), (3008, 2239), (2999, 2197), (2964, 2087), (2959, 2062), (2925, 1948), (2928, 1947), (2921, 1924), (2894, 1847), (2875, 1766), (2865, 1727), (2868, 1726), (2862, 1711), (2867, 1709), (2852, 1672), (2825, 1681), (2815, 1683), (2807, 1688), (2790, 1696), (2788, 1694), (2535, 1824), (2534, 1819), (2516, 1827), (2517, 1832), (2408, 1886), (2359, 1910), (2301, 1942), (2247, 1964), (2149, 2006), (2058, 2041), (1940, 2075), (1928, 2064), (1925, 2065), (1910, 2076), (1908, 2090), (1911, 2099), (2020, 2235), (2156, 2390), (2197, 2422), (2234, 2448), (2267, 2476), (2278, 2489), (2443, 2680), (2577, 2832), (2687, 2956), (2834, 3134), (2841, 3127), (2878, 3168), (2891, 3184), (3036, 3348), (2959, 3348), (2822, 3192), (2282, 2585), (2268, 2583), (2259, 2585), (1754, 2876), (1579, 2977), (1482, 3035), (1484, 3040), (1480, 3042), (1474, 3045), (1289, 3147), (1168, 3215), (894, 3348), (782, 3348), (876, 3303), (1129, 3178), (1420, 3023), (1445, 3008), (1445, 3002), (1489, 2982), (1490, 2972), (1532, 2952), (1534, 2940), (1579, 2913), (1784, 2793), (2016, 2659), (2234, 2535), (2235, 2519), (2173, 2444), (2138, 2412), (2005, 2263), (1912, 2157), (1829, 2027), (1791, 1995), (1733, 1933), (1632, 1829), (1617, 1814), (1592, 1769), (1589, 1766), (1545, 1719), (1403, 1563), (1368, 1538), (1331, 1506), (1238, 1444), (1211, 1434), (1136, 1415), (1064, 1394), (860, 1343), (680, 1301), (75, 1166), (68, 1169), (61, 1177), (57, 1184), (56, 1193), (56, 1202), (57, 1214), (164, 1745), (217, 2004), (254, 2198), (311, 2431), (320, 2472), (335, 2506), (361, 2568), (375, 2609), (380, 2643), (397, 2782), (404, 2842)]",3,0.009188,-0.00904,9052
6120_2_2,"[(2739, 3132), (2743, 3128), (2745, 3186), (2744, 3219), (2736, 3221), (2739, 3186), (2739, 3132)]",4,0.009188,-0.00904,9053
6120_2_2,"[(1814, 3056), (1830, 3070), (1820, 3102), (1797, 3197), (1798, 3215), (1807, 3227), (1831, 3263), (1865, 3299), (1899, 3348), (1888, 3348), (1856, 3304), (1822, 3269), (1797, 3235), (1791, 3225), (1751, 3194), (1734, 3176), (1704, 3140), (1726, 3110), (1784, 3089), (1803, 3071), (1814, 3056)]",4,0.009188,-0.00904,9054
6120_2_2,"[(355, 2968), (261, 2965), (235, 2964), (229, 2963), (155, 2962), (72, 2953), (56, 2952), (0, 2965), (0, 2950), (49, 2940), (71, 2938), (85, 2939), (173, 2955), (202, 2953), (297, 2954), (354, 2953), (355, 2968)]",4,0.009188,-0.00904,9055
6120_2_2,"[(1527, 3279), (1530, 3277), (1522, 3282), (1508, 3291), (1503, 3299), (1525, 3348), (1506, 3348), (1495, 3321), (1492, 3303), (1488, 3289), (1483, 3290), (1479, 3280), (1492, 3276), (1548, 3256), (1579, 3248), (1596, 3238), (1474, 3045), (1480, 3042), (1695, 3348), (1666, 3348), (1601, 3245), (1581, 3254), (1561, 3263), (1539, 3271), (1530, 3277), (1573, 3348), (1568, 3348), (1527, 3279)]",4,0.009188,-0.00904,9056
6120_2_2,"[(2538, 3267), (2564, 3268), (2752, 3217), (2809, 3216), (2831, 3202), (2848, 3221), (2890, 3296), (2923, 3348), (2898, 3348), (2871, 3312), (2777, 3246), (2725, 3240), (2597, 3273), (2506, 3287), (2484, 3300), (2394, 3348), (2360, 3348), (2479, 3282), (2655, 3189), (2718, 3136), (2715, 3072), (2721, 3078), (2722, 3133), (2746, 3106), (2756, 3118), (2658, 3196), (2584, 3238), (2538, 3267)]",4,0.009188,-0.00904,9057
6120_2_2,"[(2891, 3184), (2878, 3168), (3053, 3127), (3260, 3062), (3266, 3082), (3023, 3148), (2891, 3184)]",4,0.009188,-0.00904,9058
6120_2_2,"[(1832, 2831), (1837, 2828), (2062, 3059), (2152, 3104), (2227, 3163), (2283, 3165), (2329, 3125), (2397, 3082), (2400, 3086), (2332, 3132), (2286, 3171), (2225, 3170), (2153, 3112), (2058, 3064), (1832, 2831)]",4,0.009188,-0.00904,9059
6120_2_2,"[(2705, 2978), (2720, 2982), (2735, 2985), (2755, 2981), (2795, 2969), (2829, 2958), (2838, 2948), (2851, 2934), (2863, 2928), (2873, 2929), (2883, 2923), (2894, 2913), (2908, 2906), (2911, 2922), (2908, 2927), (2896, 2929), (2880, 2937), (2872, 2941), (2857, 2950), (2849, 2957), (2834, 2968), (2810, 2976), (2786, 2981), (2752, 2993), (2741, 3020), (2705, 2978)]",4,0.009188,-0.00904,9060
6120_2_2,"[(3285, 2359), (3292, 2241), (3305, 2242), (3299, 2360), (3285, 2359)]",4,0.009188,-0.00904,9061
6120_2_2,"[(1516, 2807), (1504, 2794), (1477, 2788), (1443, 2787), (1450, 2762), (1468, 2772), (1491, 2775), (1509, 2766), (1516, 2807)]",4,0.009188,-0.00904,9062
6120_2_2,"[(436, 884), (267, 918), (261, 920), (228, 935), (188, 991), (167, 1021), (134, 1054), (128, 1059), (124, 1068), (119, 1091), (113, 1109), (109, 1132), (107, 1131), (111, 1111), (116, 1093), (123, 1066), (111, 1088), (90, 1108), (77, 1121), (74, 1128), (71, 1126), (77, 1116), (99, 1097), (109, 1087), (122, 1065), (126, 1057), (151, 1033), (164, 1020), (225, 931), (125, 948), (50, 958), (0, 962), (0, 950), (139, 933), (222, 917), (285, 896), (339, 892), (346, 892), (345, 887), (286, 869), (196, 825), (142, 802), (77, 781), (20, 765), (0, 761), (0, 755), (52, 767), (114, 784), (190, 814), (290, 861), (375, 882), (477, 872), (489, 866), (529, 864), (589, 859), (639, 857), (657, 853), (647, 875), (537, 885), (462, 883), (436, 884)]",4,0.009188,-0.00904,9063
6120_2_2,"[(1406, 776), (1420, 774), (1427, 923), (1436, 1088), (1429, 1089), (1427, 969), (1415, 828), (1406, 776)]",4,0.009188,-0.00904,9064
6120_2_2,"[(1238, 540), (1244, 619), (1249, 648), (1241, 649), (1236, 614), (1231, 540), (1236, 540), (1238, 540)]",4,0.009188,-0.00904,9065
6120_2_2,"[(3135, 317), (3194, 329), (3226, 349), (3251, 375), (3308, 380), (3333, 386), (3377, 304), (3390, 274), (3390, 282), (3339, 388), (3377, 399), (3390, 399), (3390, 409), (3377, 409), (3336, 394), (3253, 384), (3221, 358), (3190, 339), (3121, 320), (3135, 317)]",4,0.009188,-0.00904,9066
6120_2_2,"[(1795, 394), (1816, 394), (1848, 391), (1885, 386), (1905, 379), (1948, 364), (1949, 369), (1911, 384), (1887, 389), (1867, 393), (1797, 402), (1795, 394)]",4,0.009188,-0.00904,9067
6120_2_2,"[(1784, 0), (1789, 0), (1789, 2), (1789, 101), (1798, 168), (1794, 169), (1790, 129), (1786, 101), (1784, 0)]",4,0.009188,-0.00904,9068
6120_2_2,"[(768, 1282), (774, 1274), (773, 1263), (764, 1248), (763, 1238), (775, 1173), (781, 1142), (773, 1130), (754, 1128), (754, 1059), (755, 974), (765, 974), (764, 1038), (765, 1056), (874, 1071), (962, 1093), (1041, 1105), (1027, 1067), (1117, 1025), (1123, 1031), (1041, 1074), (1048, 1107), (1048, 1168), (1042, 1275), (1038, 1299), (1028, 1341), (1010, 1336), (1022, 1281), (1037, 1165), (1004, 1162), (965, 1155), (924, 1148), (839, 1134), (803, 1134), (782, 1131), (798, 1133), (795, 1150), (788, 1179), (796, 1188), (788, 1237), (792, 1261), (789, 1278), (795, 1288), (768, 1282)]",4,0.009188,-0.00904,9069
6120_2_2,"[(2952, 1598), (2970, 1613), (2986, 1623), (3025, 1640), (3049, 1647), (3090, 1653), (3119, 1657), (3126, 1662), (3133, 1686), (3137, 1695), (3141, 1699), (3194, 1742), (3202, 1754), (3196, 1761), (3188, 1748), (3181, 1742), (3154, 1721), (3138, 1708), (3131, 1699), (3125, 1687), (3118, 1671), (3115, 1667), (3108, 1666), (3059, 1656), (3031, 1652), (3013, 1645), (2995, 1637), (2969, 1619), (2963, 1614), (2946, 1602), (2952, 1598)]",4,0.009188,-0.00904,9070
6120_2_2,"[(0, 1665), (6, 1666), (11, 1665), (110, 1638), (113, 1651), (12, 1676), (0, 1678), (0, 1665)]",4,0.009188,-0.00904,9071
6120_2_2,"[(3390, 1471), (3390, 1491), (3363, 1491), (3359, 1488), (3309, 1489), (3267, 1492), (3258, 1494), (3251, 1495), (3236, 1494), (3226, 1495), (3221, 1495), (3209, 1491), (3205, 1489), (3194, 1485), (3188, 1481), (3181, 1474), (3209, 1460), (3235, 1445), (3240, 1455), (3248, 1481), (3271, 1477), (3390, 1471)]",4,0.009188,-0.00904,9072
6120_2_2,"[(829, 1542), (898, 1544), (917, 1357), (930, 1361), (909, 1551), (848, 1553), (829, 1542)]",4,0.009188,-0.00904,9073
6120_2_2,"[(3390, 2209), (3390, 2231), (3308, 2236), (3311, 2178), (3308, 2087), (3299, 1932), (3310, 1931), (3319, 2062), (3390, 2064), (3390, 2077), (3377, 2077), (3327, 2089), (3324, 2156), (3390, 2182), (3390, 2209)]",4,0.009188,-0.00904,9074
6120_2_2,"[(2953, 2659), (3056, 2620), (3069, 2603), (3087, 2530), (3101, 2509), (3112, 2545), (3094, 2549), (3071, 2620), (2955, 2664), (2981, 2725), (2997, 2742), (3017, 2748), (3054, 2743), (3077, 2741), (3101, 2739), (3143, 2737), (3163, 2726), (3180, 2782), (3163, 2769), (3152, 2766), (3117, 2765), (3087, 2776), (3070, 2784), (3059, 2796), (3050, 2813), (3040, 2833), (3038, 2852), (3043, 2872), (3059, 2890), (3076, 2908), (3094, 2922), (3106, 2918), (3131, 2959), (3195, 2939), (3203, 2935), (3221, 2925), (3226, 2946), (3203, 2949), (3197, 2951), (3158, 3028), (3158, 3027), (3158, 3027), (3163, 3043), (3149, 3047), (3145, 3033), (3131, 3005), (3120, 2979), (3106, 2960), (3078, 2943), (3050, 2928), (3026, 2914), (2998, 2902), (2962, 2900), (2939, 2899), (2916, 2893), (2900, 2874), (2884, 2851), (2872, 2840), (2862, 2838), (2839, 2839), (2804, 2847), (2777, 2853), (2755, 2850), (2725, 2856), (2685, 2863), (2649, 2869), (2635, 2876), (2632, 2885), (2630, 2891), (2611, 2870), (2618, 2862), (2625, 2843), (2626, 2818), (2626, 2775), (2621, 2700), (2545, 2466), (2483, 2283), (2456, 2288), (2415, 2298), (2333, 2307), (2353, 2386), (2351, 2410), (2328, 2479), (2343, 2564), (2329, 2548), (2314, 2481), (2332, 2421), (2337, 2388), (2316, 2309), (2322, 2308), (2301, 2311), (2136, 2367), (2122, 2352), (2300, 2298), (2416, 2289), (2481, 2276), (2441, 2089), (2394, 1892), (2403, 1888), (2456, 2126), (2494, 2273), (2606, 2250), (2737, 2237), (2715, 2138), (2711, 2122), (2683, 2058), (2679, 2052), (2587, 2074), (2510, 2092), (2450, 2103), (2449, 2095), (2475, 2092), (2517, 2085), (2577, 2070), (2675, 2045), (2643, 1946), (2616, 1871), (2586, 1798), (2593, 1794), (2653, 1941), (2686, 2036), (2740, 2020), (2925, 1948), (2929, 1960), (2742, 2025), (2688, 2041), (2690, 2045), (2722, 2121), (2753, 2236), (3002, 2211), (3008, 2237), (2732, 2249), (2601, 2263), (2499, 2281), (2534, 2400), (2841, 2348), (2845, 2357), (2840, 2345), (2820, 2246), (2840, 2245), (2861, 2348), (2934, 2384), (3070, 2375), (3074, 2392), (2935, 2401), (2866, 2368), (2885, 2442), (2904, 2535), (3095, 2486), (3097, 2495), (2906, 2543), (2907, 2548), (2953, 2659)]",4,0.009188,-0.00904,9075
